Quality Supplement Mfg,,,,,,,,,,
Inventory Availability,,,,,,,,,,
  ,,,,,,,,,,
Part,Description,UOM,"On
Hand",Allocated,"Not
Available","Drop
Ship",Available,"On
Order",Committed,Short
BG405,Horny Goat Weed - Bulk - Vox Nutrition,cap,0.00,"4,512,000.00",0.00,0.00,0.00,"4,512,000.00",0.00,"4,512,000.00"
BG408,Resveratrol - Bulk - Vox Nutrition,cap,0.00,"2,000,000.00",0.00,0.00,0.00,"2,000,000.00",0.00,"2,000,000.00"
BG411,Sea Moss Capsule - Bulk - Supplement Manufacturing Partners,cap,353.00,"1,100,000.00",0.00,0.00,0.00,"1,100,000.00",0.00,"1,099,647.00"
BG415,Test Booster - Bulk - Supplement Manufacturing Partners,tab,"312,000.00","312,000.00",0.00,0.00,0.00,0.00,0.00,0.00
BG419,"Multi Collagen Complex Powder - Bulk - Just Jandi, LLC",kg,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
BG422,"Saffron Formula + Ginkgo - Bulk - Wild Wholistic, Inc.",cap,"152,824.00",0.00,0.00,0.00,"152,824.00",0.00,0.00,0.00
BG425,Custom Beef Organ Complex Capsule - Bulk - D&S Inc.,cap,0.00,"724,000.00",0.00,0.00,0.00,"724,000.00",0.00,"724,000.00"
BG431,"Super Green Food Powder [Unflavored] - Bulk - Krock, LLC",kg,0.00,560.318,0.00,0.00,0.00,561.00,0.00,560.318
BG432,Organic KSM-66 Ashwagandha Capsule - Bulk - Growth & Peace / ILTERVET,cap,0.00,"335,500.00",0.00,0.00,0.00,"336,000.00",0.00,"335,500.00"
BG433,Shoden Ashwagandha Capsule - Bulk - Growth & Peace / ILTERVET,cap,0.00,"331,962.00",0.00,0.00,0.00,"332,000.00",0.00,"331,962.00"
BG434,PhytoV - Bulk - Dr. Rath International Inc.,cap,0.00,"671,000.00",0.00,0.00,0.00,"671,000.00",0.00,"671,000.00"
BG435,Dr. Tobias Adult Multivitamin - Bulk - Mimi's Rock Corp,tab,0.00,"555,500.00",0.00,0.00,0.00,556.00,0.00,"555,500.00"
BG436,Doctor's Premium VitaControl - Bulk - Almark Products Inc. (dba Doctors Premium),cap,0.00,"387,996.00",0.00,0.00,0.00,"388,000.00",0.00,"387,996.00"
BG437,L-Carnitine 1000 mg - Bulk - Hard Iron Labs / Built by Nature / Clark Supplements,cap,0.00,"389,238.00",0.00,0.00,0.00,"390,000.00",0.00,"389,238.00"
BG438,Multi Supplement - Bulk - Naxtra LLC,cap,0.00,"1,006,500.00",0.00,0.00,0.00,"1,007,000.00",0.00,"1,006,500.00"
BG439,Triple Slimming Advance Step 1 - Bulk - Revival Point LLC,cap,0.00,"385,000.00",0.00,0.00,0.00,"385,000.00",0.00,"385,000.00"
BG440,Triple Slimming Advance Step 2 - Bulk - Revival Point LLC,cap,0.00,"385,000.00",0.00,0.00,0.00,"385,000.00",0.00,"385,000.00"
